name,address,place_id,formatted_address,place_types,location,cuisines,rating,rating_count,cost_for_two,source
Swad Signal,"Swad Signal, Swad Signal, 19th Main Road, 21st Cross HSR, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India",ChIJj0GMSdUVrjsRndiM4T72N8M,"Swad Signal, 19th Main Road, 21st Cross HSR, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Chinese",4.1,50.0,200.0,Swiggy
RS Donne Biryani & Nati Foods,"RS Donne Biryani & Nati Foods, Near Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka",ChIJbSkfYoYUrjsRTmDluQAcFZs,"19th Main Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['breakfast_restaurant', 'diner', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Biryani,Chettinad",3.9,50.0,250.0,Swiggy
HOTEL THORANAM,"HOTEL THORANAM, No.7/1, Hosur Rd, opp. Oxford College, Popular Colony, Bommanahalli, Bengaluru, Karnataka 560068, India",ChIJ05PZW40VrjsRC4buJ094VB4,"No.7/1, Hosur Rd, opp. Oxford College, Popular Colony, Bommanahalli, Bengaluru, Karnataka 560068, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Andhra,Biryani",3.7,20.0,300.0,Swiggy
Desi Khana,"Desi Khana, 2724, 31st Main Rd, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",ChIJgb6s0JoUrjsRrAfxGzvrFWw,"251/A, 19th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102, India","['catering_service', 'food_delivery', 'vegetarian_restaurant', 'indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Thalis",3.5,20.0,100.0,Swiggy
Sri Rajasthani Foods,"Sri Rajasthani Foods, No.2724, 31st Main, 17th cross road, HSR Layout, Bangalore , BTM Layout , B.B.M.P South, Karnataka-560102",ChIJ5b-zQ_4VrjsRK4j24yNKOW8,"2724, 31st Main Rd, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Thalis",3.5,50.0,100.0,Swiggy
56 Bhoga Sweets,"56 Bhoga Sweets, #575, Near to HanumanStatue, Behind Jagannath Temple, Agara Circle, HSR Layout Sector 1, Sarjapura Main Road, Bengaluru, BTM Layout , B.B.M.P South, Karnataka 560102",ChIJ2SstmIAUrjsRauk7mByTnsg,"20 1, 4th Cross Rd, next to Sri Jagannath temple, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['candy_store', 'bakery', 'confectionery', 'food_store', 'food', 'point_of_interest', 'store', 'establishment']",HSR,"Sweets,Snacks",4.3,100.0,300.0,Swiggy
Lo! - Low Carb and Keto Foods,"Lo! - Low Carb and Keto Foods, House No. 8C, Metropolitan Cooperative Housing Society Colony, Block 3, 14th D Cross, HSR Layout, 6th Sector, Bengaluru 560102.",ChIJxcmWPDsVrjsRwWHrwo0gHxg,"8C, Block 3, MCHS Colony, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Healthy Food,Keto",4.6,500.0,150.0,Swiggy
Mr Biriyani,"Mr Biriyani, 219, 9th Main Road, Sector 6, HSR Layout, Bengaluru, Karnataka, India",ChIJ_52cwG0VrjsRx_9h-uPI2Hs,"764, near Hebe’s Cafe, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,Biryani,4.0,50.0,300.0,Swiggy
Rolls Factory,"Rolls Factory , 32, K-1348/108/34, Haralukunte, Parangipalya 25, Mahadevapura, BBMP East, HSR, Bangalore",ChIJofqd5mARrjsRENS1ycLkqk4,"XMGH+2HV, Kaggadasapura Main Rd, Kondappa Layout, Vignan Nagar, Doddanekundi, Kaggadasapura, Bengaluru, Karnataka 560037, India","['fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Healthy Food,Snacks",4.3,20.0,250.0,Swiggy
Harilal Ka Bihari Dhaba,"Harilal Ka Bihari Dhaba, 38, Venkatapura Main Rd, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India",ChIJjV1TrHMVrjsR9IisHzqHV0M,"38, Venkatapura Main Rd, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Chinese",3.9,20.0,150.0,Swiggy
