name,address,location,cuisines,rating,rating_count,cost_for_two,source
EatFit,"EatFit, 1st Floor,State Bank of India, Mathikere, MS Ramaiah Rd, Gokula 1st Stage, HMT Layout, Mathikere, Bengaluru, Karnataka 560054",Yeshwanthpur,"Healthy Food,Pizzas",3.9,500.0,270.0,Swiggy
Goli Vada pav,"Goli Vada pav, 7 H.M.T Main Road, Yeshwanthpura, VR Layout, Mathikere Extension, Mathikere, Bengaluru, Karnataka 560054",Yeshwanthpur,"Maharashtrian,North Indian",4.5,20.0,100.0,Swiggy
Toothpick,"Toothpick, #13 2nd cross subedarpalya MSR Main Road Yeshwanthpur Bangalore 560022",Yeshwanthpur,"Chinese,North Indian",1.9,20.0,300.0,Swiggy
Udupi Garden,"Udupi Garden, Udupi Garden, Ramaiah College Stop, Mathikere",Yeshwanthpur,"North Indian,Chinese",3.7,20.0,300.0,Swiggy
D-Zaprino,"D-Zaprino, 27 A  3rd Cross  Netajinagar  Jallahalli cross  Bangalore  560057",Yeshwanthpur,"American,Italian",3.7,50.0,300.0,Swiggy
COOL CITY,"COOL CITY, #13 subedarpalya 2nd cross MS RAMAIAH main road Malleswaram ward Yeshwanthpur Bangalore 560022",Yeshwanthpur,"Biryani,Kebabs",2.4,20.0,100.0,Swiggy
AJJI PORK HOTEL,"AJJI PORK HOTEL, # 13/21-3, MUNIRAJU BUILDING, MEC ROAD, MARAPPANAPALYA, YESHWANTHPURA, BANGALORE, Yeshwanthapura , B.B.M.P North, Karnataka - 560022",Yeshwanthpur,"Chinese,South Indian",3.9,100.0,300.0,Swiggy
Aastha Bengali Mess,"Aastha Bengali Mess, No.459/64, 5th B Cross, Triveni Main Rd, Kamla Nehru. Extension, Yeswanthpur, Bengaluru, Karnataka 560022, India",Yeshwanthpur,"Indian,Snacks",4.2,50.0,200.0,Swiggy
Garden KABAB CORNER,"Garden KABAB CORNER, 64 M S COMPLEX, S C RD , YESHWANTHPUR, BANGALORE",Yeshwanthpur,"Beverages,Mughlai",3.9,100.0,180.0,Swiggy
Momo Zone - The Momo Company,"Momo Zone - The Momo Company, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU - 560054",Yeshwanthpur,"Chinese,Tibetan",3.9,20.0,150.0,Swiggy
Shawarma Time,"Shawarma Time, #559 1st main road yeshwanthpura mathikere bomboy dyeing road land mark opposite to metro big bazaar",Yeshwanthpur,Arabian,3.2,20.0,150.0,Swiggy
Itminaan Biryani - Dum Pukht,"Itminaan Biryani - Dum Pukht, No-38, Sandeep Building, Mathikere Main Road, Mathikere",Yeshwanthpur,"Biryani,North Indian",3.5,20.0,400.0,Swiggy
Brahmins' Thatte Idli,"Brahmins' Thatte Idli, No 15 , Old No 28 , Gokula Extension , 1st Stage , 2nd Phase , Mathikere , Bangalore",Yeshwanthpur,South Indian,4.4,500.0,150.0,Swiggy
COMBOS JUMBOS MUMBOS,"COMBOS JUMBOS MUMBOS, NO 13 2ND CROSS SUBEDHARPALYA TEMPLE OPPASITE TO TATA INSTITUTE YESHWANTPUR,BANGALORE 560022",Yeshwanthpur,"Chinese,North Indian",2.7,50.0,200.0,Swiggy
Kadak Biryani and Grills,"Kadak Biryani and Grills, No  38  HMT Main Road  Opp to SBI  Gokula Extension  Mathikere  Karnataka 560054",Yeshwanthpur,"Biryani,Seafood",3.8,100.0,350.0,Swiggy
Kaati Zone Rolls & Wraps,"Kaati Zone Rolls & Wraps, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU - 560054",Yeshwanthpur,"Beverages,Bengali",4.2,500.0,150.0,Swiggy
RICH GRILLS RESTAURANT,"RICH GRILLS RESTAURANT, 13 1st main, Shankara Nagar Main Rd, opp. Ashok Heights, Yeshwanthpur Industrial Suburb, Mahalakshmi Layout, Bengaluru, Karnataka 560096, India",Yeshwanthpur,"North Indian,Chinese",4.2,50.0,400.0,Swiggy
Karnataka Hindu Miltry Hotel,"Karnataka Hindu Miltry Hotel, No 580, T.Dasarahalli, Chokasandra, Next to New Agarwal Bhavan, Bengaluru, Karnataka 560057",Yeshwanthpur,South Indian,3.3,20.0,400.0,Swiggy
New Udupi Grand,"New Udupi Grand, No 360-361, Opp Abhiman Petrol Bunk, Near NTTF Circle, Peenya, Bangalore North - 560098",Yeshwanthpur,"South Indian,North Indian",4.0,500.0,200.0,Swiggy
The Circus Canteen,"The Circus Canteen, Bangalore Creative Circus, Yesvantpur Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka, India",Yeshwanthpur,"Healthy Food,Beverages",4.0,20.0,400.0,Swiggy
Donne Biriyani Angadi,"Donne Biriyani Angadi, NO 40/1 HMT MAIN ROAD IST FLOOR NEAR M S RAMAIAH COLLEGE BUS STOP MATHIKERE,560054",Yeshwanthpur,"Biryani,Beverages",3.8,20.0,300.0,Swiggy
Cupcake Bliss Cakes & Desserts,"Cupcake Bliss Cakes & Desserts, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU - 560054",Yeshwanthpur,"Bakery,Desserts",3.9,100.0,200.0,Swiggy
Amma's Pastries,"Amma's Pastries, AMMA'S PASTRIES-NO 10/30/1, 11TH MAIN ROAD, GOKULA 1ST STAGE, 2ND PHASE, BANGALORE, Yeshwanthapura , B.B.M.P North(Karnataka)-560054",Yeshwanthpur,"Bakery,Desserts",4.2,20.0,350.0,Swiggy
Home Plate by EatFit,"Home Plate by EatFit, State Bank of India, Mathikere MS Ramaiah Rd, Gokula 1st Stage, HMT Layout, Mathikere, Bengaluru, Karnataka 560054",Yeshwanthpur,"North Indian,Home Food",3.9,20.0,200.0,Swiggy
Q3 food corner,"Q3 food corner, 90, 1st Main Road, Muthyala Nagar, Gokula Extension, Jalahalli, Sharadamba Nagar, Muthyala Nagar, Gokula Extension, Mathikere, Bengaluru, Karnataka 560013",Yeshwanthpur,North Indian,3.8,50.0,200.0,Swiggy
Sundae Everyday Ice Creams,"Sundae Everyday Ice Creams, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU - 560054",Yeshwanthpur,"Desserts,Ice Cream",3.5,20.0,150.0,Swiggy
Aligarh House by EatFit,"Aligarh House by EatFit, 1st Floor,State Bank of India, Mathikere, MS Ramaiah Rd, Gokula 1st Stage, HMT Layout, Mathikere, Bengaluru, Karnataka 560054",Yeshwanthpur,"Biryani,Mughlai",4.0,100.0,400.0,Swiggy
KOLKATA FAMOUS KATI ROLL,"KOLKATA FAMOUS KATI ROLL, Near SBI Bank, Factory Main Road, opposite to Brigade Courtyard, Jalahalli Village, 2nd Stage, Bengaluru, Dasarahalli , B.B.M.P North, Karnataka - 560013",Yeshwanthpur,"Snacks,Beverages",3.2,20.0,99.0,Swiggy
WarmOven Cakes & Desserts,"WarmOven Cakes & Desserts, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU - 560054",Yeshwanthpur,"Bakery,Desserts",4.1,100.0,200.0,Swiggy
Indiana Burgers,"Indiana Burgers, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU - 560055",Yeshwanthpur,"American,Beverages",4.4,100.0,150.0,Swiggy
Slurpy Shakes,"Slurpy Shakes, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU - 560056",Yeshwanthpur,"Desserts,Beverages",4.4,20.0,150.0,Swiggy
