name,address,location,cuisines,rating,rating_count,cost_for_two,source
Crown Restaurant,"Crown Restaurant, Arekere Main Road, Bannerghatta Road, Bangalore",Arekere,"Indian,Chinese",4.5,20.0,300.0,Swiggy
BRAHMINS CHATS And FAST FOOD,"BRAHMINS CHATS And FAST FOOD, Elite Grandeur Apartments, Devarchikkanahalli road, Bilkehalli, BDA Layout BTM 4th Stage, Bengaluru, Karnataka 560076, India",Arekere,Chaat,4.2,50.0,150.0,Swiggy
Just Delicious,"Just Delicious, Just Delicious, Begur - Hulimavu Road, Akshayanagara West, Akshaya Gardens, Akshayanagar, Bengaluru, Karnataka, India",Arekere,"North Indian,Snacks",4.2,500.0,300.0,Swiggy
Thakkali Kitchens,"Thakkali Kitchens, Nandanam Restaurant, 32,SRK Paradise, Opposite Vijaya Springwood Apartment ,Manipal County Road singasandra, Bangalore",Arekere,"Kerala,South Indian",3.7,100.0,399.0,Swiggy
Iyengar Amma Pastries,"Iyengar Amma Pastries, 5th Main Rd, 2nd Block, Addischetan Layout, Bommanahalli, Bengaluru, Karnataka 560076, India",Arekere,"Bakery,Snacks",3.4,20.0,300.0,Swiggy
Snack Ride,"Snack Ride, 6 & 7, 1 & 2, A MAIN, NO. 7, 3RD MAIN ROAD, 3RD CROSS ROAD, MANJUNATHA LAYOUT, KODICHIKKANAHALLI, BANGALORE, Bommenahalli, Bangalore South, Bangalore Urban, Karnataka - 560076",Arekere,"Snacks,Chaat",5.0,20.0,250.0,Swiggy
PAWAN SWEETS,"PAWAN SWEETS, Begur - Hulimavu Rd, Akshaya Gardens, Akshayanagar, Bengaluru, Karnataka 560076, India",Arekere,Sweets,4.1,100.0,360.0,Swiggy
NAALNAAD MANE,"NAALNAAD MANE, 16,2ND FLOOR GOWRY'S BUILDING,ABOVE DOMINO'S,SY NO 13 OF AREKERE VILLAGE,BANNERGHATTA,BANGLAORE,jayanagar,B.B.M.PM south, karnataka - 560076",Arekere,"Indian,South Indian",4.8,100.0,438.0,Swiggy
GOWHEY- HEALTHY DESSERT COMPANY,"GOWHEY- HEALTHY DESSERT COMPANY, NO 54/55 3rd CROSS OMKAR NAGAR AREKERE GATE BANNERGHATA ROAD BANGALORE,BTM LAYOUT,B.B.M.P south, Karnataka,560076",Arekere,"Ice Cream,Healthy Food",4.1,20.0,200.0,Swiggy
Chavadi,"Chavadi, #4, Arama Suites, Behind HSBC, Off Bannergatta Road, Bangalore 560076",Arekere,"Continental,Pizzas",4.0,50.0,450.0,Swiggy
The Brooklyn Creamery - Healthy Ice Cream,"The Brooklyn Creamery - Healthy Ice Cream, 161/161/A arkere main road opp to Mantri woodland Apartment",Arekere,"Desserts,Ice Cream",4.2,20.0,200.0,Swiggy
Amul Ice Cream Parlour (DLF Main Road),"Amul Ice Cream Parlour (DLF Main Road), Property No. 3, Shop No.2, Next to Canara Bank, Opp. Little Elly School, Akshaya Nagar, DLF Main Road, Yelanhalli, Bengaluru-560068",Arekere,"Desserts,Ice Cream",4.4,100.0,99.0,Swiggy
Sandwich Guru,"Sandwich Guru, No.1, 1st Cross, 1st Stage, Arkere MICO Layout, B G Road, Bangalore, B.B.M.P South, Karnataka-560076",Arekere,"Snacks,Beverages",4.0,100.0,150.0,Swiggy
Mealful Rolls - Meals in a Roll,"Mealful Rolls - Meals in a Roll, Shop No. 5, Shbari Complex, Arakere Mico Layout main Road, Govinda Reddy Layout, Off B G Road",Arekere,"Fast Food,North Indian",4.2,20.0,250.0,Swiggy
Ishta Cafe - Millet Pizzas,"Ishta Cafe - Millet Pizzas, 1314, 3rd Main Rd, Akshayanagara East, Akshayanagar, Bengaluru, Karnataka 560076, India",Arekere,"Pizzas,Salads",3.7,20.0,400.0,Swiggy
Paratha Envy,"Paratha Envy, No 92, 1st floor, 1st main, Wilson garden house building, Co-operative society ltd, Kothanur road, JP Nagar 7th Phase, Bangalore - 560078",Arekere,North Indian,4.2,100.0,249.0,Swiggy
Green Cravings,"Green Cravings, Freshmenu #23/24, Ground floor,  2nd Cross, Arkere main road, Bannerghatta road, Bangalore 560076.",Arekere,"Healthy Food,Continental",4.0,100.0,250.0,Swiggy
New Udupi Veg,"New Udupi Veg, No. 36/3, Kodichikkanahalli Village, BTM 3rd Stage, Near Janhavi Enclave Appt, Bangalore KA 560076",Arekere,"South Indian,Chinese",3.8,20.0,200.0,Swiggy
GUNDU PALAV SGS NON VEG - ORIGINAL,"GUNDU PALAV SGS NON VEG - ORIGINAL, No. 4,1st cross,1st Stage, Arekere Mico Layout main road, Arekere, Bannerghatta Road, Bangalore - 560076.",Arekere,Indian,4.1,50.0,200.0,Swiggy
Dindigul Thalappakatti,"Dindigul Thalappakatti, Survey 13, Door 3, Ground floor and First floor, Arekere Village, Begur Hobli, Bangalore South Taluk, Bommanahalli, B.B.M.P South, Karnataka, Bommanahalli, Bangalore.",Arekere,"Biryani,Barbecue",3.9,100.0,650.0,Swiggy
Prashanth Gowdru Badoota,"Prashanth Gowdru Badoota, Prashanth Gowdru Badoota, Bannerghatta Main Road, Vijayashri Layout, Syndicate Bank Colony, Omkar Nagar, Hulimavu, Bengaluru, Karnataka, India",Arekere,"Indian,Tandoor",4.1,50.0,400.0,Swiggy
KFC,"KFC, K.F.C. at Ground Floor, Site No- 66 & 67, Begur Hulimavu Main Road, Bhagyalakshmi Avenue, Rukmaiah Layout, Nyanappana Halli, Bengaluru,  Bangalore Urban, Karnataka 560076",Arekere,"American,Snacks",3.9,100.0,400.0,Swiggy
Soup Station,"Soup Station, 35/4, 24 TH MAIN JP NAGAR 7TH PHASE,PUTTENAHALLI,BANGALORE -560078, Karnataka",Arekere,"Continental,Healthy Food",3.8,500.0,300.0,Swiggy
The Dessert Zone,"The Dessert Zone, 6D, 3rd Floor, Aishwarya Arcade, Hanuman Nagar, BTM Layout, Sir M Vishveshwaraya Road, Opp Nano Hospital, Arekere, Bangalore, 560076",Arekere,"Bakery,Desserts",3.7,50.0,200.0,Swiggy
GURU PALACE,"GURU PALACE, Guru palace 53/A Hulimavu opp. Royal Meenaksi mall Bannergatta main road . Bangalore 76",Arekere,"Chinese,Indian",4.3,50.0,500.0,Swiggy
Chaatimes,"Chaatimes, C/O Isiri Cafe, No.316/B, 80 Ft Road, Shantiniketan Layout,  Arekere, Bangalore, BTM Layout , B.B.M.P  South, Karnataka-560076",Arekere,"Chaat,Beverages",4.3,100.0,150.0,Swiggy
The Bowl Company,"The Bowl Company, Second floor,Site No 10,BBMP Khata No #7/10/7,Yelanahalli village, Begur hobli,Bangalore south taluka-560068,Land mark-Above Canara bank",Arekere,"Continental,Indian",4.1,500.0,300.0,Swiggy
homely,"homely, Second floor,Site No 10,BBMP Khata No #7/10/7,Yelanahalli village, Begur hobli,Bangalore south taluka-560068,Land mark-Above Canara bank",Arekere,"Home Food,North Indian",4.1,500.0,200.0,Swiggy
Just Shawarma,"Just Shawarma, 17/18, Kodichikkanahalli Main Rd, Anugraha Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru, Karnataka 560076",Arekere,Lebanese,3.6,50.0,150.0,Swiggy
NAMANA GARDEN,"NAMANA GARDEN, VIJAYA BANK LAYOUT",Arekere,"South Indian,North Indian",3.7,20.0,140.0,Swiggy
Iyengars Bakery,"Iyengars Bakery, NO 18 OPP to Arjun aura apartment, Kodichikkanahalli, Bilekahalli, Bangalore    560076",Arekere,Bakery,3.9,100.0,100.0,Swiggy
Food Court By Kitchens@,"Food Court By Kitchens@, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore 560078",Arekere,"Biryani,Mughlai",3.5,20.0,300.0,Swiggy
Amma's Pastries,"Amma's Pastries, AMMAS PASTRIES NO 218 GROUND FLOOR ,9TH MAIN 6TH SECTOR HSR LAYOUT BANAGALORE B.B.M.P SOUTH Karnataka - 560102",Arekere,"Bakery,Desserts",3.9,100.0,350.0,Swiggy
DESI CHOWK,"DESI CHOWK, Shop No.04 No.14K, 150/1 ANUGRAHA, Avani Shringeri Nagar, Bhagyalakshmi Avenue, Nyanappana Halli, BTM 6th Stage, Bengaluru, Karnataka 560076, India",Arekere,"Chinese,Continental",3.8,50.0,299.0,Swiggy
Oven Story Pizza,"Oven Story Pizza, No 161,161 A,166, First floor, ,Vinayaka Nagar,Bangalore,KARNATAKA",Arekere,"Pizzas,Italian",3.7,100.0,400.0,Swiggy
Superman Momos,"Superman Momos, ajanthakonforts1stfloor,45/46puttenhalli 7th phase, j.p nagar bengaluru - 360028",Arekere,"Chinese,Tibetan",4.3,20.0,800.0,Swiggy
Zomoz - The Momo Company,"Zomoz - The Momo Company, No. 161, 161-A, 166, First Floor, Vinayaka Nagar, Arekere Main Road, Bannerghatta Road, Bangalore - 560076.",Arekere,"Tibetan,Chinese",4.3,100.0,250.0,Swiggy
Chakka Manga Thenga,"Chakka Manga Thenga, S-SQUARE Multicuisine Restaurant, Hulimavu Lake Road, Mutharayaswamy Layout, Hulimavu, Bengaluru, Karnataka, India",Arekere,"Kerala,Seafood",4.0,500.0,250.0,Swiggy
NOTO - Healthy Ice Cream,"NOTO - Healthy Ice Cream, no-23/1ARAKERE BEGUR HOBLI,BANNERGHATA ROAD,, Bommanahalli, B.B.M.P South, Karnataka - 560076",Arekere,"Ice Cream,Healthy Food",4.3,50.0,300.0,Swiggy
cafe kanthari,"cafe kanthari, Shop no 289/7, Nithyashree Complex, Begur Main Rd, Near Indian Petrol Bunk, Begur, Bengaluru, Karnataka 560068, India",Arekere,"Kerala,South Indian",4.1,100.0,250.0,Swiggy
Madras Meal Company,"Madras Meal Company, No 92, 1st floor, 1st main, Wilson garden house building, Co-operative society ltd, Kothanur road, JP Nagar 7th Phase, Bangalore - 560078",Arekere,"Chettinad,South Indian",3.7,50.0,250.0,Swiggy
ZAZA 22 Spice Biryani,"ZAZA 22 Spice Biryani, Shop No. 5, Shbari Complex, Arakere Mico Layout main Road, Govinda Reddy Layout, Off B G Road",Arekere,"Biryani,North Indian",3.9,20.0,250.0,Swiggy
Maa Reddy's Hyderabadi Biryani House,"Maa Reddy's Hyderabadi Biryani House, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore 560078",Arekere,"Biryani,Indian",3.4,100.0,400.0,Swiggy
Wow! Momo,"Wow! Momo, Inside Mall Food Court, TFK 38, 3rd Floor, Cave Temple Road, Hulmaue, Bannerghatta Main Rd, Bengaluru, Karnataka 560076",Arekere,"Tibetan,Healthy Food",4.2,100.0,250.0,Swiggy
UDUPI UPAHAR,"UDUPI UPAHAR, Near, Arekere Main Rd, Lake City, Arekere, Bengaluru, Karnataka 560076, India",Arekere,"Chinese,South Indian",4.4,20.0,100.0,Swiggy
Juice Shop,"Juice Shop, 35/4, 24th Main Rd, Achappa Layout, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Arekere,"Juices,Ice Cream",4.0,100.0,150.0,Swiggy
SRI RADHE RASOI,"SRI RADHE RASOI, #558/4, 1st floor, 2nd cross, muneshwara block hulimavu",Arekere,"North Indian,Desserts",4.5,50.0,250.0,Swiggy
Noodle King Asian Bowls,"Noodle King Asian Bowls, No. 23/1,Bannerghatta Road Arekere Village, Begur Hobli, Bengaluru, Karnataka 560076",Arekere,"Thai,Chinese",3.8,20.0,500.0,Swiggy
Maa Ki Khichdi,"Maa Ki Khichdi, 45 & 46, K No 534 Puttenahalli Blore, Kar, Bangalore South, Bangalore Urban, , Karnataka, 560078",Arekere,"Home Food,Desserts",4.4,20.0,250.0,Swiggy
Tuckshop Cafe,"Tuckshop Cafe, KSV Complex,Ground Floor, Corner shop,  Devarachikkanahalli Main Road, Royal shelters layout, Land mark: opp: OM Collections and PK Home needs Bommanahalli",Arekere,"American,Fast Food",4.2,100.0,200.0,Swiggy
Estaa Sweets,"Estaa Sweets, 1106/9, A M Industrial Estate, Garvebhavipalya, 7th Mile Hosur Road, Hosur Rd",Arekere,"Sweets,Snacks",4.3,100.0,300.0,Swiggy
Delhi Swad,"Delhi Swad, no 45,jp puttenahalli,jp nagar 7th phase,opposite samsung showroom,Bangalore ",Arekere,"North Indian,Chinese",3.8,50.0,200.0,Swiggy
FreshMenu,"FreshMenu, Freshmenu #23/24, Ground floor, 2nd Cross, Arkere main road, Bannerghatta road, Bangalore 560076.",Arekere,"Chinese,Continental",4.0,1000.0,250.0,Swiggy
Pizza Hut,"Pizza Hut, Pizza Hut at C.M.C Khata No- 1377 in Survey No- 148/1 & 148/2 situated in Bilekanahalli Village, Begur Hobli, Bangalore, B.B.M.P South, Karnataka-560076",Arekere,Pizzas,3.8,100.0,350.0,Swiggy
Habibi Falafel,"Habibi Falafel, No 39A, Situated at Chikkathoguru, Basapura Main Road, Electronic City Post, Bangalore, Bommanahalli , B.B.M.P South, Karnataka-560095",Arekere,"Lebanese,Arabian",4.1,100.0,300.0,Swiggy
Davanagere benne dosa corner,"Davanagere benne dosa corner, NO 763, 4tn crs , opp pk kalyan mantapa begur main road,BTM layout south bangalore- 560068",Arekere,South Indian,3.9,20.0,250.0,Swiggy
Donne Biriyani House,"Donne Biriyani House, No 99/2 RBI East Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Arekere,Biryani,4.0,500.0,250.0,Swiggy
BIG MISHRA PEDHA,"BIG MISHRA PEDHA, 116,royal residency,80 ft road, btm 4th stage,iimb post, off bannerghatta road,near sai baba temple arekere bangalore 560076 off banneragatta road ,near sai baba temple",Arekere,"Desserts,Snacks",4.1,100.0,200.0,Swiggy
Panda Momos,"Panda Momos, 45 & 46, K No 534 Puttenahalli Blore, Kar, Bangalore South, Bangalore Urban, , Karnataka, 560078",Arekere,"Asian,Tibetan",4.6,20.0,200.0,Swiggy
Big Pitcher,"Big Pitcher, No 28, 4th Cross Rd, BOB Colony,  JP Nagar, 7th Phase, Bengaluru - 560078",Arekere,"Chinese,Desserts",3.9,100.0,400.0,Swiggy
Lissys Taste Buds,"Lissys Taste Buds,  #28 Bethel Villa, 6th A Main, Church road, Kothanur Dinne, Jp Nagar 8th Phase, Bangalore - 560078",Arekere,"South Indian,Combo",4.6,20.0,200.0,Swiggy
Dairy Day Ice Creams,"Dairy Day Ice Creams, Bhoomika Enterprises, #E52, Chowdeshwari nilaya Ground floor Doddakammanahalli Aralikatte Circle, Off, Bannerghatta Main Rd, near Anjaneyar Temple, Bengaluru, Karnataka 560076",Arekere,"Ice Cream,Desserts",4.6,50.0,200.0,Swiggy
Maharaja Military Canteen,"Maharaja Military Canteen, First Floor, Sri Rama Layout, Nataraja Layout, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Arekere,South Indian,3.8,500.0,350.0,Swiggy
Vishal Foods,"Vishal Foods, NO 2 , AKSHAYNAGAR NEAR DLF NEW TOWN BEGUR MAIN ROADBANGALORE SOUTH KARNATAKA 560068",Arekere,North Indian,3.8,50.0,280.0,Swiggy
TASTY THINDI,"TASTY THINDI, near Shell petrol pump, Akshaya Gardens, Hulimavu, Bengaluru, Karnataka 560076, India",Arekere,"Biryani,Combo",4.1,20.0,300.0,Swiggy
Waffle Walle,"Waffle Walle, No-10, Bannerghatta Main road, Pai  Layout, Hulimavu, Lane Next to Christ  College, Bengaluru, Bommanahalli ,  B.B.M.P South, Karnataka - 560076",Arekere,"Waffle,Desserts",3.7,20.0,250.0,Swiggy
Kanti Sweets,"Kanti Sweets, Kanti Sweets No. 4, Arakere Village, Begur Hobli,Bannerghatta Road, opp. Reliance mart, Bengaluru-560078",Arekere,Desserts,4.5,20.0,100.0,Swiggy
SLV REDDY MILITARY HOTEL,"SLV REDDY MILITARY HOTEL, SLV Reddy Military Hotel (naati style), Pavamana Nagar, Surabhi Nagar, 7th phase, J. P. Nagar, Bengaluru, Karnataka, India",Arekere,"Biryani,Indian",4.2,100.0,300.0,Swiggy
"Bombay Kulfi- Kulfis,Desserts, Icecream","Bombay Kulfi- Kulfis,Desserts, Icecream, Opposite Elan Convention center , next to Icici Atm, JP nagar 7th phase ,Bangalore",Arekere,"Desserts,Ice Cream",4.4,20.0,100.0,Swiggy
Dosa Vilas,"Dosa Vilas, 23,  SVR Avenue Sagar Layout  Devarachikkanahalli main road bangalore",Arekere,"Andhra,South Indian",4.2,20.0,200.0,Swiggy
Leon Grill,"Leon Grill, No.503/A, BTM Layout 2nd Block, 6th Stage , Bengaluru, BTM Layout, B.B.M.P South, Karnataka-560070",Arekere,"American,Snacks",4.3,1000.0,300.0,Swiggy
MOMO JUNCTION,"MOMO JUNCTION, No 368, Perody Magnum, 8th Main, Vijaya Bank Layout, Bilekahalli, Off Bannerghatta Road, Bangalore, 560076",Arekere,"Fast Food,Snacks",3.5,20.0,150.0,Swiggy
LunchBox - Meals and Thalis,"LunchBox - Meals and Thalis, No. 161, 161 A, 166, First Floor, Vinayaka Nagar, Arekere Main Road, Bannerghatta Road, Bangalore   560076.",Arekere,"North Indian,Punjabi",4.1,100.0,200.0,Swiggy
The cake chef,"The cake chef, NO-167,ROYAL LAKE FRONT RESIDENCY,1ST LAYOUT,JP NAGAR 8THG PHASE,BENGALURU,BBMP WARD NO.194 ,,Bommanahalli ,B.B.M.P South,Karnataka-560076",Arekere,"Bakery,Desserts",3.9,100.0,300.0,Swiggy
Meghana Foods,"Meghana Foods, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore",Arekere,"Biryani,Andhra",4.5,1000.0,500.0,Swiggy
Adiga's,"Adiga's, No. 204, 11th K.M. Stone, Bilekahalli, Bannerghatta Road",Arekere,"South Indian,North Indian",4.0,500.0,200.0,Swiggy
Kwality Walls Frozen Dessert and Ice Cream Shop,"Kwality Walls Frozen Dessert and Ice Cream Shop, 21,NAYANNAPPAHALI MAIN ROAD,BANGALORE, District - Bangalore Urban, STATE - Karnataka",Arekere,"Ice Cream,Desserts",4.4,100.0,300.0,Swiggy
The Good Bowl,"The Good Bowl, No 161,161 A,166, First floor,Vinayaka Nagar,A,KARNATAKA",Arekere,"North Indian,Punjabi",3.9,20.0,400.0,Swiggy
Lassi Shop,"Lassi Shop, 5th Cross Road, 13th Main Road, 1035, Bannerghatta Main Rd, Gangaparameshwari Nagar, Kodichikknahalli, Vijaya Bank Layout, Bilekahalli, Bengaluru, Karnataka 560076",Arekere,Beverages,4.2,100.0,200.0,Swiggy
Juicy&spicy,"Juicy&spicy, 121/10, j p nagar, 7th phase, gaurava nagar, RBI layout,  bangaluru",Arekere,"Chinese,South Indian",3.8,100.0,150.0,Swiggy
Southly Healthy,"Southly Healthy, No. 204, 11th K.M. Stone, Bilekahalli, Bannerghatta Road",Arekere,"South Indian,Healthy Food",3.6,20.0,200.0,Swiggy
Holige Mane Kuruk Thindi,"Holige Mane Kuruk Thindi, #287/2, Patelappa Layout, Near Bhagyasagar Hotel, Begur Main Road, Bommanahalli , B.B.M.P South, Karnataka - 560068",Arekere,Sweets,4.5,50.0,200.0,Swiggy
SLAY Coffee,"SLAY Coffee, No 161,161 A,166, First floor,Vinayaka Nagar,KARNATAKA 560076",Arekere,"Beverages,Desserts",4.4,100.0,200.0,Swiggy
ITC Fabelle Chocolates,"ITC Fabelle Chocolates, Counter 15,35/4,Achappa Layout, Puttenahalli,JP Nagar 7th Phase,J.P .Nagar, Bengaluru,Karnataka-560078",Arekere,"Bakery,Desserts",4.8,20.0,600.0,Swiggy
Shanghai Court VB Layout,"Shanghai Court VB Layout, No 1035 5th Cross 13th Main Vijaya Bank Layout Kodichikkanahalli Road Opp To Vijaya Enclave Apartment Bangalore 560070",Arekere,"Chinese,Thai",4.5,100.0,450.0,Swiggy
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Frozen Bottle - Milkshakes, Desserts And Ice Cream, NO - TFK 37, 3rd Floor, Royal Meenakshi Mall, Bengaluru -  560076",Arekere,"Beverages,Desserts",4.2,50.0,250.0,Swiggy
Rotti Mane (Uttara Karnataka Food Store),"Rotti Mane (Uttara Karnataka Food Store), NO 811, GROUND FLOOR, SH NO 03, MANJUNATHA COMPLEX AREKERE MAIN ROAD, BANNERGHATTA ROAD, ITMB POST, BOMMANAHALLI, B.B.M.P SOUTH (KARNATAKA) - 560076",Arekere,South Indian,4.1,100.0,200.0,Swiggy
Food Affair,"Food Affair, 989, 2nd Floor, Sri Ambika Corner, 11th main, DC road, Vijaya Bank Layout, BTM 4th Stage, Bangalore - 560076",Arekere,"North Indian,Tandoor",4.2,100.0,350.0,Swiggy
Buzz A Pizza-Wood Fired Pizzas,"Buzz A Pizza-Wood Fired Pizzas, 1314, 3rd Main Rd, Akshayanagara East, Akshayanagar, Bengaluru, Karnataka 560076, India",Arekere,"Pizzas,Beverages",3.7,100.0,400.0,Swiggy
Kaati Zone Rolls & Wraps,"Kaati Zone Rolls & Wraps, 6D, 3rd Floor, Aishwarya Arcade, Hanuman Nagar, BTM Layout, Sir M Visveswaraya Road, Opp to Graamina Angad, Bannerghatta Road, Bangalore",Arekere,"Fast Food,Beverages",4.2,100.0,150.0,Swiggy
Paratha Junction,"Paratha Junction, Paratha Junction, opposite Organic abode, beside Vijaya children's clinic, Shops 1 & 2, 1st cross, mico layout, Arekere, bannerghatta road",Arekere,North Indian,3.1,20.0,150.0,Swiggy
Andhra Gunpowder,"Andhra Gunpowder, No 92, 1st floor, 1st main, Wilson garden house building, Co-operative society ltd, Kothanur road, JP Nagar 7th Phase, Bangalore - 560078",Arekere,"Andhra,Biryani",4.0,500.0,350.0,Swiggy
A2B Veg,"A2B Veg, 35/4, 24th Main Rd, Achappa Layout, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",Arekere,"South Indian,North Indian",4.1,500.0,300.0,Swiggy
McDonald's,"McDonald's, Royal Meenakshi Mall, No. 424/376/487 in Sy. No. 63, Bannerghatta Main Road.Bengaluru 560076.",Arekere,"Burgers,Beverages",4.3,1000.0,400.0,Swiggy
Five Star Chicken Bilekahalli,"Five Star Chicken Bilekahalli, 116/1- bilekahalli, five star chicken, vijaya bank layout, Btm 4th stage",Arekere,American,3.4,20.0,100.0,Swiggy
Veruthe Oru Thattukada,"Veruthe Oru Thattukada, NO.357/2,2,HULIMAVU NYNAPPANAHALLI  ROAD,NEAR DLF NEW TOWN,BEGUR  VILLAGE,BENGALURU",Arekere,"Biryani,Seafood",3.8,500.0,350.0,Swiggy
RICE NOODLES,"RICE NOODLES, Ground Floor, Shop No.01 No.14, 150/1 ANUGRAHA, Avani Shringeri Nagar, Nyanappana Halli, BTM 6th Stage, Bengaluru, Karnataka 560076",Arekere,"Chinese,Pan-Asian",4.3,500.0,200.0,Swiggy
Chinese Bowl Company,"Chinese Bowl Company, ajantha komforts 1st floor 45/46 puttenhalli road.",Arekere,"Chinese,Asian",4.8,20.0,800.0,Swiggy
Mani's Dum Biryani,"Mani's Dum Biryani, MANIS DUM BIRYANI SITE NO, 1 & 2 CHIKKA BEGUR GATE, LAKSHMI LAYOUT, ROAD, BANGALORE, Bangalore South, Bangalore Urban, Karnataka-560068",Arekere,Indian,4.2,1000.0,483.0,Swiggy
White Mountain - Ice Cream and Sundaes,"White Mountain - Ice Cream and Sundaes, No 8, Kukke Plaza, Akshaynagar, Bengaluru 560076",Arekere,"Ice Cream,Beverages",4.4,50.0,250.0,Swiggy
Hyderabad Biryaani House,"Hyderabad Biryaani House, No 11 2 Arekere Main Rd, Vinayak Nagar, Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka 560076",Arekere,"North Indian,Chinese",4.0,500.0,600.0,Swiggy
Thalaivars Biryani,"Thalaivars Biryani, California Burrito, No.148/1/148/2A, Near HSBC, Next to MC Donald, Bannerghatta Road, Bengaluru , District - B.B.M.P South, STATE - Karnataka",Arekere,"Andhra,Biryani",4.1,100.0,200.0,Swiggy
Kakal Kai Ruchi Dlf,"Kakal Kai Ruchi Dlf, 68, BEGUR HULIMAVU MAIN ROAD, AVANI SRINGERI NAGAR, NYNAPPANAHALLI, BANGALORE, Bommanahalli , B.B.M.P South, Karnataka-560068",Arekere,Indian,4.2,100.0,300.0,Swiggy
Chowman,"Chowman, No. 03, Ground Floor, Bilekhahalli Dakale, Doresanipalya, Bangalore, Bommanahalli, B.B.M.P South, Karnataka-560076",Arekere,"Thai,Asian",4.2,500.0,800.0,Swiggy
Sri Bhagya Grand,"Sri Bhagya Grand, 5th Cross Rd, Gangaparameshwari Nagar, Kutappa Garden, DUO Layout, Bilekahalli, Bengaluru",Arekere,"South Indian,North Indian",4.1,1000.0,150.0,Swiggy
ITC Sunfeast Baked Creations,"ITC Sunfeast Baked Creations, Counter 15,35/4,Achappa Layout,Puttenahalli,JP Nagar 7th Phase,J.P .Nagar, Bengaluru,Karnataka-560078",Arekere,"Bakery,Desserts",4.6,100.0,600.0,Swiggy
iSiri Cafe,"iSiri Cafe, 316b, 12th Main Rd, Hanuman Nagar, Arekere, Bengaluru, Karnataka",Arekere,"Chinese,Snacks",4.4,100.0,250.0,Swiggy
Sundae Everyday Ice Creams,"Sundae Everyday Ice Creams, 6D  3rd Floor  Aishwarya Arcade  Hanuman Nagar  BTM Layout  Sir M Visveswaraya Road  Opp to Graamina Angad  Bannerghatta Road  Bangalore",Arekere,"Desserts,Ice Cream",4.0,50.0,150.0,Swiggy
ITC Master Chef Creations,"ITC Master Chef Creations, Counter 1,35/4,Achappa Layout,Puttenahalli,JP Nagar 7th Phase,J.P .Nagar, Bengaluru,Karnataka-560078",Arekere,"North Indian,Biryani",4.3,500.0,650.0,Swiggy
Eating Love Pizzeria,"Eating Love Pizzeria, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore,560076",Arekere,"Pizzas,Pastas",4.5,20.0,500.0,Swiggy
Polar Bear,"Polar Bear, No 106/A, Vijaya bank layout, Billekahalli, BTM 4th Stage",Arekere,"Ice Cream,Desserts",4.6,100.0,300.0,Swiggy
WarmOven Cakes & Desserts,"WarmOven Cakes & Desserts, 6D, 3rd Floor, Aishwarya Arcade, Hanuman Nagar, BTM Layout, Sir M Visveswaraya Road, Opp to Graamina Angad, Bannerghatta Road, Bangalore   ",Arekere,"Bakery,Desserts",4.3,100.0,200.0,Swiggy
Krishna Kuteera,"Krishna Kuteera, No 19 3C, Avanishringeri Nagar, Nyanappanahalli Village, Begur Hobli, Bangalore - 560076",Arekere,"South Indian,Chinese",4.3,1000.0,200.0,Swiggy
Behrouz Biryani,"Behrouz Biryani, No 161,161 A,166, First floor, ,Vinayaka Nagar,Bangalore,KARNATAKA",Arekere,"Biryani,Mughlai",4.0,100.0,500.0,Swiggy
MBA In Khichdi,"MBA In Khichdi, 45 & 46, K No 534 Puttenahalli Blore, Kar, Bangalore South, Bangalore Urban, , Karnataka, 560078",Arekere,"Home Food,Desserts",4.3,20.0,250.0,Swiggy
BaHa Superfoods,"BaHa Superfoods, No. 161, 161-A, 166, First Floor, Vinayaka Nagar, Arekere Main Road, Bannerghatta Road, Bangalore - 560076.",Arekere,"Healthy Food,Juices",4.4,20.0,200.0,Swiggy
Starbucks Coffee,"Starbucks Coffee, Cinepolis SJR Spectrum (Central Mall) 11, Arekere Main Rd, Arakere Gate, Panduranga Nagar, Bengaluru, Karnataka 560076",Arekere,Beverages,4.3,100.0,400.0,Swiggy
Bombay Brasserie,"Bombay Brasserie, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore 560078",Arekere,"North Indian,Biryani",4.1,50.0,900.0,Swiggy
Beijing Bites,"Beijing Bites, 31, 1st Floor, RR Images, Panduranga Nagar, Near Arakere, Bannerghatta Road",Arekere,"Chinese,Thai",4.2,500.0,450.0,Swiggy
